old_lahmanID,new_lahmanID
bsumixx01,smithbu01
ahansxx01,hansoal01
lhaarxx01,harlola01
bneruxx01,nelsobr01
luoorxx02,walrole01
wjienxx01,llenawi01
emehixx01,mejiaer01
hmyuuxx01,meulehe01
rrizuxx01,lizra01
tburoxx02,burrote01
ssandxx01,sandesc01
epaamxx01,palmqed01
dgurixx01,greenda01
eramixx01,ramirem01
smakkxx01,macksh01
kraimxx01,reimeke01
jsantxx01,santaju02
meekaxx01,acrema01
cribexx02,riverca01
krooxx01,loeka01
smakuxx01,mcclasc01
lpootxx01,potelo01
ddentxx01,dentoda01
mbaruxx01,valdema02
sshiexx01,sheldsc01
tairuxx01,irelati01
ddisaxx01,desadi01
prebixx01,revilpe01
rgurixx01,glynnry01
ysoraxx01,solarya01
jtorexx01,tracyji01
btoraxx01,traxlbr01
aporexx01,poredaa01
sguraxx01,greisse01
ltoomxx01,thomale01
tdorixx01,drisktr01
nerubxx01,elvirna01
rdeebxx01,davisri01
ajoonxx01,jonesad01
cponsxx01,ponceca01
jhaamxx01,hermije01
rruiixx01,ruizra01
ogonzxx01,gonzaos01
greinxx01,reynogr01
jburaxx03,blashja01
skuupxx01,coopesc01
cbuucxx01,bootcch01
fkaraxx01,carabfr01
fkurexx01,crespfe01
jhakkxx01,jacomja01
jmashxx01,maciajo01
rpeenxx01,penara01
enabaxx01,navaref01
jkoruxx01,cordeji01
cnaimxx01,nymanch01
afirixx01,phillan01
dnebaxx01,neverdo01
akabuxx01,cabreal01
jsanzxx01,sandsje01
bkoorxx01,coreybr01
jromaxx01,romakja01
vrottxx01,rottivi01
rpetaxx01,petagro01
kbaadxx01,birdky01
jheruxx01,hellwjo01
bmakuxx02,macdobo01
bburixx01,britobe01
rheruxx01,hernara01
gariaxx01,ariasge01
mraiaxx01,ryalma01
aramixx01,ramiral01
dbukyxx01,buchada01
amiraxx01,miranar01
rberuxx02,beltrri01
oarusxx01,arciaos01
bshauxx01,shousbr01
droomxx01,lomando01
arongxx01,longal01
jhaasxx01,hurstjo01
eheruxx02,hernael01
eansoxx01,anthoer01
mgurixx01,greenmi01
puookxx01,walkepe01
dmakixx01,mackida01
eperexx01,perezed01
jtshaxx01,chargjo01
rmaruxx01,mulhery01
jburixx03,brighja01
bshikxx01,sikorbr01
grokkxx01,locklge01
rtonpxx01,thompry01
syuuixx01,ewingsa01
bteerxx01,taylobo01
rdorixx01,dolisra01
lgonzxx01,gonzalu02
dhansxx01,hanseda01
jtairxx01,tyronji01
jburaxx01,brownja01
jseruxx01,selfjo01
pkasuxx01,castepe01
dsafaxx01,sarfade01
jriifxx01,liefeje01
jwaadxx01,wardja01
smakuxx02,mcgousc01
lshiixx01,sheetla01
sraidxx01,lydysc01
craitxx02,wrighch01
sshiixx01,seabosc01
gsancxx01,sanchga01
mburaxx02,brownmi01
tburaxx01,brownto01
craruxx01,lerouch01
djjonxx01,johnsdj01
cruisxx02,lewisco01
mhesuxx01,hessmmi01
jhauzxx01,heuseji01
ctoorxx01,torreca01
criisxx01,resopch01
mneruxx01,nelsoma01
gbakkxx01,bacquge01
fmanixx01,mankofr01
bdikuxx02,dixonbr01
agerexx01,guerral01
dsantxx01,santado01
chafuxx01,huffmch01
jropexx01,lopezjo01
dpauexx01,powelde01
jrondxx01,rondojo01
ajoonxx02,jonesad01
bsuuixx01,sweenbr01
wbarexx01,balenwl01
mboudxx01,bowdemi01
dsutoxx01,stonede01
bkeppxx01,keppebo01
ghofuxx01,hoffmgu01
jkubexx01,kubenje01
wroodxx01,rowdowa01
fyashxx01,jaciufr01
efuraxx01,frances01
sderaxx01,delabst01
amaesxx01,maestal01
vchuuxx01,chulkvi01
cagiixx01,aguilch01
choruxx01,holtch01
cnaabxx01,narvech01
nuoruxx01,waltena01
koomixx01,ohmeke01
sparixx01,palysst01
posegxx01,osegupa01
bkozuxx01,kozlobe01
hderaxx01,delache01
mmaatxx01,murtoma01
mramuxx01,lummi01
snoijxx01,neusesh01
ederaxx01,delaceu01
ljakuxx01,jackslo01
jmiraxx01,millejo01
kasupxx01,asproke01
ajkooxx01,coleaj01
abaanxx01,burnsad01
jferixx01,felicju01
tyangxx01,youngti01
rmendxx01,mendero01
wsumixx01,smithwi01
bhansxx01,hansebo01
aarukxx01,alcanar01
tmakkxx01,mcintti01
dheruxx01,hernada01
agyarxx01,garread01
kkuroxx01,cronke01
abosuxx01,vothau01
