playerID,yearID,stint,Glf,Gcf,Grf
araiyu01,1989,1,82,6,
araiyu01,1990,1,94,2,
araiyu01,1991,1,34,8,
araiyu01,1992,1,48,,
araiyu01,1993,1,83,1,2
araiyu01,1994,1,74,,
araiyu01,1995,1,40,,
araiyu01,1996,1,11,,
arakahi01,2001,1,,2,
arakahi01,2003,1,,,4
arakahi01,2004,1,5,18,17
arakahi01,2005,1,4,,5
arakahi01,2006,1,,,3
arakahi01,2007,1,2,,1
arakahi01,2008,1,2,12,10
arakahi01,2009,1,,,1
arakahi01,2010,1,16,6,22
arakahi01,2011,1,17,,5
arakahi01,2012,1,2,,
arakahi02,1953,1,18,3,44
arakahi02,1954,1,,,99
arakahi02,1955,1,,,103
arakahi02,1956,1,,,80
arakahi02,1957,1,,,64
arakahi02,1958,1,,,73
arakahi02,1959,1,,,16
arakahi02,1960,1,,,1
arakaiw01,1962,1,,,2
arakama01,1939,1,1,5,
arakama01,1940,1,,,7
arakash01,1968,1,1,,1
arakash01,1969,1,,9,
arakaso01,1956,1,145,,
arakida01,1984,1,,1,
arakida01,1985,1,,1,
arakida01,1992,1,,,1
arakida01,1993,1,2,,20
arakida01,1994,1,1,,
arakida01,1996,1,,1,
arakifu01,2019,1,2,,
arakima01,1997,1,,9,
arakima01,2001,1,9,10,8
arakima01,2002,1,,20,
arakima01,2006,1,,8,
arakima01,2013,1,,,2
arakita01,2014,1,9,,
arakita01,2015,1,28,,12
arakita01,2016,1,1,,2
arakita01,2017,1,2,,
arakita01,2018,1,2,,1
arakita01,2019,1,3,,1
arakita01,2020,1,2,,3
arakita01,2021,1,3,,
arakita02,1944,1,,,13
aramaat01,1954,1,,,1
ramiral01,2001,1,135,,1
ramiral01,2002,1,139,,
ramiral01,2002,2,1,,
ramiral01,2003,1,140,,
ramiral01,2004,1,129,,
ramiral01,2005,1,146,,
ramiral01,2006,1,134,,
ramiral01,2007,1,132,,
ramiral01,2007,2,1,,
ramiral01,2008,1,134,,
ramiral01,2009,1,133,,
ramiral01,2009,2,1,,
ramiral01,2010,1,132,,
ramiral01,2011,1,119,,
ramiral01,2012,1,117,,
ramiral01,2013,1,22,,
aranash01,2011,1,,20,
aranash01,2012,1,,130,
aranash01,2013,1,,58,57
aranash01,2014,1,,45,
aranash01,2015,1,,44,
aranash01,2016,1,,12,7
aranash01,2017,1,5,,3
aranash01,2018,1,,2,
arekkon01,2003,1,,134,
arekkon01,2004,1,,138,
arekkon01,2005,1,,136,
arekkon01,2006,1,117,21,
arekkon01,2006,2,1,,
arekkon01,2007,1,,73,
arekkon01,2008,1,,2,137
riverad01,1939,1,,73,
arigayo01,1982,1,7,,
arigayo01,1983,1,33,,
arigayo01,1984,1,,9,3
riggsad01,2005,1,,,7
arikuma01,1991,1,,,2
arikuma01,1992,1,,1,1
arikuma01,1993,1,,1,
arimiiw01,1964,1,,1,
arimuie01,1954,1,,,20
arisake01,1985,1,,,1
aritash01,1973,1,2,,1
aritash01,1979,1,6,,3
aritash01,1983,1,,,1
aritate01,1972,1,,,1
aritomi02,1977,1,,,2
aritomi02,1984,1,,,114
aritomi02,1985,1,75,,
ariyohi01,1956,1,,1,
ariyohi01,1957,1,,2,
ariyohi01,1958,1,,,1
lopezar01,1968,1,,108,31
lopezar01,1969,1,,8,111
lopezar01,1970,1,,5,108
lopezar01,1971,1,,6,122
lopezar01,1972,1,,,113
lopezar01,1973,1,,,75
asagoke01,1959,1,10,,
asagoke01,1960,1,1,,
asagoke01,1961,1,12,,2
asagoke01,1962,1,,,1
asagoke01,1963,1,2,,
asagoke01,1964,1,,7,
asahana01,1942,1,1,,58
asahana01,1943,1,,,56
asahana01,1952,1,,,50
asahana01,1953,1,42,,24
asahana01,1954,1,32,2,43
asahana01,1955,1,20,,12
asaihi01,2005,1,,1,
